Question ID,Base_model_Llama,base_model_Mixtral,Base_Model_Gemma2,Rag_Model_Llama,Rag_Model_Mixtral,Rag_Model_Gemma2
1,0.42410883,0.4068957,0.120810002,0.370327457,0.444317465,0.397645317
2,0.41547492,0.45096722,0.383881092,0.370160643,0.193470399,0.438281228
3,0.46899757,0.40096146,0.36803335,0.382942584,0.443774133,0.381407363
4,0.39084813,0.43441245,0.174233183,0.327054963,0.350374768,0.339064531
5,0.4129599,0.46384418,0.423657031,0.385814281,0.466332954,0.350531342
6,0.3878044,0.3820932,0.392963111,0.351302304,0.400240856,0.345158633
7,0.37937027,0.4068169,0.353619099,0.347020955,0.373146164,0.336816506
8,0.334582,0.26616514,0.344798028,0.326228991,0.370345153,0.330282383
9,0.48792124,0.20105925,0.370749533,0.375160112,0.219407293,0.362799024
10,0.3966576,0.40197495,0.391089618,0.355579752,0.443109047,0.363758313
11,0.33600345,0.31167805,0.357221782,0.330413289,0.353189688,0.378706779
12,0.39957002,0.3965123,0.38893342,0.399645625,0.447159561,0.452553713
13,0.41323277,0.3766389,0.460992664,0.391055125,0.420623649,0.416461113
14,0.4282795,0.43025443,0.384424776,0.40688618,0.434096368,0.43530951
15,0.35265854,0.40803245,0.391141593,0.36748247,0.451759558,0.391141322
16,0.37168226,0.35476172,0.349763185,0.36040799,0.379588533,0.227913922
17,0.38971663,0.42187715,0.427809983,0.419363327,0.453784175,0.401870272
18,0.4016847,0.48498508,0.383893877,0.390255396,0.428268117,0.344098758
19,0.3209346,0.34822074,0.323753089,0.298772607,0.295691932,0.322088322
20,0.3930393,0.4616463,0.352985948,0.371689859,0.466822303,0.447765678
21,0.4280649,0.49543905,0.443657041,0.493829078,0.514712507,0.443657127
22,0.43186903,0.49759027,0.496980071,0.439688986,0.497657892,0.453023826
23,0.50419295,0.6063976,0.457135201,0.462705526,0.554680821,0.503377264
24,0.40785092,0.4570016,0.299153328,0.410712537,0.427309812,0.373811248
25,0.34772995,0.3824205,0.394255966,0.170992727,0.372476317,0.400563763
26,0.4144028,0.4930185,0.423762977,0.386530084,0.262255938,0.378611178
27,0.44022202,0.2836891,0.422257334,0.344562448,0.378950591,0.39516283
28,0.43327495,0.4188328,0.415014237,0.254758033,0.461776017,0.370480362
29,0.25647354,0.3641935,0.323764116,0.226139344,0.202391904,0.194893771
30,0.4379014,0.4167262,0.272879541,0.362745631,0.376815758,0.248794465
31,0.4914636,0.4994924,0.406936973,0.38581619,0.41897112,0.403007666
32,0.39365187,0.3987148,0.16009523,0.24242041,0.381253538,0.211666134
33,0.41957614,0.49109384,0.34568882,0.218445072,0.397079458,0.344727361
34,0.48827532,0.46611273,0.376779944,0.389268412,0.406638715,0.431288428
35,0.4277584,0.38586107,0.33419925,0.157633919,0.214672117,0.319439515
36,0.5714955,0.45440623,0.387322605,0.333184035,0.418942526,0.348705975
37,0.39337283,0.3829081,0.341031551,0.369532641,0.396188809,0.326679994
38,0.50853175,0.40751696,0.350722134,0.172520326,0.366313157,0.356827109
39,0.53805906,0.5136567,0.373838603,0.196861368,0.355056917,0.37323558
40,0.5178973,0.4585949,0.397081643,0.321264397,0.371554097,0.402095496
41,0.5659116,0.50557923,0.352968603,0.200385885,0.326748261,0.364383276
42,0.492085,0.4699731,0.386900723,0.339993579,0.333010224,0.337659132
43,0.44269812,0.38720658,0.437368631,0.353571113,0.379113648,0.364870083
44,0.44849524,0.47676396,0.412697494,0.397407227,0.367750985,0.403949761
45,0.4458342,0.4442241,0.372516602,0.395495191,0.384433364,0.326144387
46,0.61387783,0.36408246,0.386000842,0.336798913,0.343445351,0.379139041
47,0.447073,0.47228053,0.421626806,0.35427153,0.393671382,0.433766412
48,0.25179508,0.19277984,0.263793617,0.439593894,0.469591839,0.364542027
49,0.39818025,0.34691405,0.378618389,0.352724319,0.386482953,0.401427954
50,0.4274584,0,0.476978581,0.226305072,0,0.22442324
51,0.38470203,0.24357753,0.171161518,0.412316045,0.19595393,0.199116908
52,0.5689377,0.55370396,0.382853895,0.493145392,0.465652067,0.458798003
53,0.6718805,0.5717115,0.449001998,0.38014867,0.550610914,0.437422954
54,0.5005913,0.46545056,0.458687574,0.438221187,0.433852114,0.368757036
55,0.49641728,0.48838326,0.499253422,0.291787775,0.469474594,0.524255801
56,0.44015104,0.39907983,0.141967267,0.337720601,0.138625671,0.162344734
57,0.4459834,0.39615464,0.433277875,0.195955654,0.46091613,0.367514174
58,0.47490582,0.4351186,0.35921818,0.171877344,0.33834347,0.348006421
59,0.43753514,0.47117516,0.392493755,0.357342816,0.375563947,0.412129272
60,0.44994554,0.46373817,0.374702066,0.045393534,0.410627285,0.319925441
61,0.40531754,0.45557943,0.32343179,0.358150159,0.421568112,0.33636223
62,0.4883878,0.51878214,0.356764793,0.363958396,0.456167775,0.377771707
63,0.49638495,0.5119808,0.336215615,0.38187583,0.484105872,0.364226057
64,0.36970517,0.2602707,0.342114151,0.343014622,0.409713501,0.224154903
65,0.35641465,0.37207854,0.176550254,0.199604491,0.340349063,0.22462304
66,0.49326003,0.44363892,0.399327636,0.350772582,0.404676217,0.376124389
67,0.4042206,0.3801948,0.335020572,0.356306596,0.360443473,0.358268641
68,0.38062957,0.3890408,0.339665323,0.308053953,0.343504314,0.381766693
69,0.42774418,0.44351226,0.365616024,0.416315774,0.4389967,0.427034766
70,0.40013853,0.2923047,0.343468577,0.197366429,0.335736917,0.253562251
71,0.5099409,0.34789136,0.397427678,0.351236277,0.439187332,0.381600621
72,0.46354377,0.42364413,0.375230283,0.392324234,0.452904163,0.393648436
73,0.48538405,0.23871271,0.330835819,0.329766584,0.387602859,0.391693234
74,0.45532843,0.46227625,0.340615749,0.361781848,0.357588344,0.386046845
75,0.4038411,0.40370154,0.355125606,0.331763994,0.357624005,0.370497653
76,0.4466101,0.46916837,0.206071496,0.337110847,0.362992453,0.369115961
77,0.39565107,0.38429734,0.351683229,0.382591157,0.375623519,0.385771168
78,0.34809583,0.3957574,0.325444192,0.318714037,0.362328435,0.349768266
79,0.5042582,0.5138426,0.476985812,0.405299333,0.429783076,0.480809741
80,0.4220472,0.45669052,0.404732764,0.342836888,0.404315252,0.403305361
81,0.45371845,0.49505094,0.364049345,0.337275422,0.377931637,0.37883659
82,0.46648204,0.48063186,0.406854719,0.391092882,0.437840958,0.366111453
83,0.5400159,0.5282555,0.433947712,0.332284672,0.504618893,0.466520704
84,0.49006256,0.44731703,0.362766743,0.336935813,0.4125845,0.423529688
85,0.44900492,0.4655373,0.339798212,0.230358416,0.488316475,0.471052219
86,0.42358088,0.4786325,0.472329587,0.355257593,0.444846502,0.342079941
87,0.33769217,0.3072132,0.328493565,0.370586395,0.351474937,0.363371807
88,0.39533997,0.44788176,0.37769112,0.310723879,0.417555568,0.381847388
89,0.4305777,0.4292805,0.36492157,0.295758186,0.354092668,0.312381028
90,0.42523983,0.45192298,0.354921818,0.325965295,0.356044327,0.359876918
91,0.4762587,0.5309912,0.424210161,0.378909721,0.508533461,0.417358048
92,0.4869283,0.43529376,0.409813285,0.395167327,0.395167327,0.444276439
93,0.38203228,0.3711684,0.335263848,0.206840448,0.329995327,0.348911371
94,0.5051807,0.5226561,0.450059742,0.394697435,0.527097536,0.397994514
95,0.43325382,0.49720135,0.440370232,0.406753666,0.468797211,0.390008703
96,0.45978978,0.4430859,0.378062785,0.398941055,0.386979266,0.37622046